Area,Category,Data Source,Data Year,Equity Report Year,Geography Type,Indicator,Notes,Percent,Percentile,Unit for Value,Value,multipolygon
015701,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.948202 32.794918, -116.950961 32.794922, -116.950971 32.79816, -116.950971 32.800202, -116.94457 32.800175, -116.940157 32.80018, -116.935741 32.80018, -116.930511 32.800165, -116.934617 32.796283, -116.935733 32.795494, -116.936622 32.79514, -116.937301 32.794991, -116.939698 32.794919, -116.940129 32.79492, -116.944587 32.794917, -116.948202 32.794918)))"
016504,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.961937 32.807681, -116.961877 32.809804, -116.96172 32.81233, -116.961624 32.813325, -116.960473 32.819109, -116.959038 32.819109, -116.955048 32.819115, -116.9518 32.819122, -116.950064 32.819122, -116.949628 32.819124, -116.949717 32.815484, -116.950682 32.813322, -116.950954 32.812578, -116.950983 32.809519, -116.950985 32.807694, -116.961937 32.807681)))"
013000,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.088104 32.627514, -117.084006 32.62866, -117.079938 32.629793, -117.081286 32.633244, -117.07721 32.634371, -117.075869 32.63095, -117.074508 32.627496, -117.073148 32.624047, -117.071797 32.62059, -117.075881 32.619439, -117.07996 32.618304, -117.084073 32.61716, -117.085418 32.620611, -117.086753 32.624057, -117.088104 32.627514)))"
016503,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.960686 32.821619, -116.961358 32.824421, -116.96146 32.824954, -116.96149 32.82513, -116.961089 32.825083, -116.959727 32.825091, -116.956081 32.825107, -116.953002 32.825114, -116.949497 32.823569, -116.949769 32.822867, -116.949762 32.821811, -116.949759 32.821366, -116.949635 32.820282, -116.949628 32.819124, -116.950064 32.819122, -116.9518 32.819122, -116.955048 32.819115, -116.959038 32.819109, -116.960473 32.819109, -116.960508 32.820043, -116.960686 32.821619)))"
016502,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.939589 32.821231, -116.936513 32.820806, -116.934534 32.820806, -116.935724 32.819064, -116.935724 32.816855, -116.935723 32.81337, -116.935731 32.807706, -116.944606 32.807711, -116.950985 32.807694, -116.950983 32.809519, -116.950954 32.812578, -116.950682 32.813322, -116.949717 32.815484, -116.949628 32.819124, -116.949635 32.820282, -116.949759 32.821366, -116.949762 32.821811, -116.949769 32.822867, -116.949497 32.823569, -116.948415 32.823004, -116.947515 32.822535, -116.946582 32.822049, -116.946179 32.82184, -116.945809 32.82165, -116.945123 32.821401, -116.944623 32.821362, -116.940121 32.821339, -116.939589 32.821231)))"
016202,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.961757 32.831017, -116.96172 32.829545, -116.961717 32.82941, -116.961628 32.826324, -116.96149 32.82513, -116.96146 32.824954, -116.961358 32.824421, -116.960686 32.821619, -116.960508 32.820043, -116.960473 32.819109, -116.961624 32.813325, -116.96172 32.81233, -116.961877 32.809804, -116.961937 32.807681, -116.961988 32.806012, -116.96244 32.804679, -116.962405 32.804091, -116.962401 32.803113, -116.962334 32.802863, -116.962353 32.799252, -116.966611 32.798941, -116.966604 32.794928, -116.966734 32.794926, -116.966786 32.794922, -116.977307 32.794957, -116.977636 32.794957, -116.977511 32.80582, -116.979662 32.80581, -116.979653 32.807386, -116.979649 32.816837, -116.979641 32.818192, -116.982347 32.824518, -116.982824 32.825212, -116.983363 32.826511, -116.983803 32.827625, -116.983848 32.830405, -116.983807 32.830698, -116.983784 32.830931, -116.983771 32.831399, -116.975472 32.831283, -116.973661 32.83123, -116.961757 32.831017)))"
016100,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.979653 32.807386, -116.979662 32.80581, -116.977511 32.80582, -116.977636 32.794957, -116.977961 32.794958, -116.980259 32.794964, -116.982208 32.794965, -116.98284 32.794865, -116.984137 32.793971, -116.985166 32.791098, -116.985176 32.793071, -116.986945 32.794732, -116.98817 32.795924, -116.990271 32.795341, -116.990568 32.795234, -116.990973 32.795235, -116.991187 32.795154, -116.993675 32.795031, -116.997122 32.794989, -116.997134 32.795222, -116.999201 32.794966, -116.999263 32.796543, -117.002203 32.795303, -117.002629 32.795247, -117.003251 32.794707, -117.004199 32.794611, -117.004885 32.794381, -117.005608 32.794364, -117.00566 32.794345, -117.00588 32.794306, -117.005777 32.794894, -117.005741 32.795169, -117.005616 32.797667, -117.005611 32.801089, -117.005609 32.802588, -117.005448 32.80255, -117.005348 32.802537, -117.000472 32.801706, -116.993703 32.80328, -116.988753 32.806202, -116.988221 32.806465, -116.987646 32.806671, -116.986828 32.806848, -116.984443 32.807016, -116.979653 32.807386)))"
016000,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.986347 32.786537, -116.984823 32.788658, -116.98732 32.787953, -116.987857 32.789547, -116.985757 32.790528, -116.987958 32.790896, -116.986945 32.794732, -116.985176 32.793071, -116.985166 32.791098, -116.984137 32.793971, -116.98284 32.794865, -116.982208 32.794965, -116.980259 32.794964, -116.977961 32.794958, -116.977636 32.794957, -116.977307 32.794957, -116.966786 32.794922, -116.969767 32.792906, -116.974876 32.78767, -116.977753 32.784702, -116.979439 32.783197, -116.980225 32.782756, -116.981303 32.782375, -116.982867 32.780278, -116.985033 32.779208, -116.986081 32.779079, -116.988089 32.779118, -116.990322 32.780828, -116.987056 32.782875, -116.987557 32.78394, -116.984441 32.785652, -116.986205 32.785687, -116.986347 32.786537)))"
015902,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.962306 32.784119, -116.962303 32.784046, -116.962302 32.780386, -116.963948 32.780388, -116.96876 32.780396, -116.973068 32.780398, -116.974223 32.7804, -116.979439 32.783197, -116.977753 32.784702, -116.974876 32.78767, -116.9747 32.787694, -116.974265 32.787675, -116.973046 32.787671, -116.968773 32.787665, -116.968742 32.787663, -116.966148 32.787661, -116.962315 32.787662, -116.962306 32.784119)))"
015901,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.968773 32.787665, -116.973046 32.787671, -116.974265 32.787675, -116.9747 32.787694, -116.974876 32.78767, -116.969767 32.792906, -116.966786 32.794922, -116.966734 32.794926, -116.966604 32.794928, -116.966168 32.794928, -116.966148 32.787661, -116.968742 32.787663, -116.968773 32.787665)))"
015801,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.962352 32.799106, -116.958102 32.799117, -116.957273 32.797189, -116.957269 32.798242, -116.950971 32.79816, -116.950961 32.794922, -116.953685 32.794926, -116.957372 32.794929, -116.962344 32.794928, -116.966168 32.794928, -116.966604 32.794928, -116.966611 32.798941, -116.962353 32.799252, -116.962352 32.799106)))"
015704,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.935733 32.795494, -116.933621 32.792524, -116.928782 32.788411, -116.928143 32.78767, -116.937277 32.787666, -116.939496 32.787667, -116.942369 32.787668, -116.944601 32.787664, -116.944587 32.794917, -116.940129 32.79492, -116.939698 32.794919, -116.937301 32.794991, -116.936622 32.79514, -116.935733 32.795494)))"
015703,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.948196 32.787657, -116.950965 32.787661, -116.953649 32.787662, -116.953681 32.792716, -116.953685 32.794926, -116.950961 32.794922, -116.948202 32.794918, -116.944587 32.794917, -116.944601 32.787664, -116.948196 32.787657)))"
015302,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,18,"MULTIPOLYGON (((-116.963948 32.780388, -116.962302 32.780386, -116.959936 32.780384, -116.957828 32.780379, -116.958797 32.775728, -116.958137 32.770236, -116.958517 32.767926, -116.958713 32.767508, -116.96101 32.764752, -116.961013 32.764752, -116.961024 32.764729, -116.961216 32.764677, -116.961523 32.764574, -116.961854 32.76441, -116.962355 32.764394, -116.963238 32.764613, -116.963986 32.764865, -116.966486 32.765968, -116.970146 32.766038, -116.970793 32.766051, -116.971312 32.766061, -116.971892 32.766108, -116.972109 32.766202, -116.97467 32.770329, -116.977664 32.771492, -116.97948 32.773319, -116.980601 32.773939, -116.981487 32.774434, -116.983979 32.776368, -116.987013 32.775341, -116.985863 32.776966, -116.988099 32.778469, -116.988226 32.778607, -116.988122 32.778935, -116.988089 32.779118, -116.986081 32.779079, -116.985033 32.779208, -116.982867 32.780278, -116.981303 32.782375, -116.980225 32.782756, -116.979439 32.783197, -116.974223 32.7804, -116.973068 32.780398, -116.96876 32.780396, -116.963948 32.780388)))"
015000,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.002513 32.787526, -117.002829 32.787045, -117.003054 32.786768, -117.001134 32.786184, -116.998526 32.785614, -116.997011 32.78044, -116.997189 32.779365, -117.000491 32.779131, -117.003869 32.777625, -117.004238 32.777473, -117.004722 32.777306, -117.011178 32.775213, -117.017256 32.776672, -117.018298 32.778036, -117.018418 32.778381, -117.019873 32.78443, -117.018408 32.7881, -117.021608 32.789691, -117.020112 32.791453, -117.017869 32.791505, -117.010809 32.791338, -117.01045 32.791153, -117.00601 32.79132, -117.00588 32.794306, -117.00566 32.794345, -117.005608 32.794364, -117.004885 32.794381, -117.004199 32.794611, -117.003251 32.794707, -117.002629 32.795247, -117.002203 32.795303, -117.001978 32.789103, -117.002513 32.787526)))"
014901,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.016502 32.757823, -117.016605 32.758556, -117.018436 32.761761, -117.018624 32.762098, -117.019572 32.763728, -117.014066 32.766233, -117.012378 32.766216, -117.011305 32.767408, -117.010086 32.767611, -117.008742 32.768176, -117.008262 32.768286, -117.006498 32.768286, -117.005864 32.768287, -117.00237 32.768245, -117.002436 32.767225, -117.002279 32.76332, -117.004314 32.759702, -117.010207 32.754425, -117.010724 32.753968, -117.011186 32.753894, -117.011742 32.753471, -117.01195 32.753639, -117.012005 32.753678, -117.012164 32.753809, -117.015794 32.756227, -117.016502 32.757823)))"
014806,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.024937 32.769749, -117.030037 32.768397, -117.031067 32.768391, -117.032482 32.768493, -117.032837 32.768473, -117.035062 32.768035, -117.038953 32.768849, -117.038992 32.770355, -117.039642 32.770355, -117.039664 32.770903, -117.039803 32.770903, -117.039901 32.770903, -117.039909 32.77138, -117.040257 32.771375, -117.040357 32.771374, -117.040377 32.770953, -117.040475 32.770953, -117.047023 32.770842, -117.046788 32.772769, -117.046485 32.773488, -117.047579 32.773845, -117.048602 32.774257, -117.048626 32.77475, -117.048729 32.775254, -117.04882 32.7755, -117.048816 32.775662, -117.043148 32.772993, -117.042273 32.772803, -117.04052 32.772693, -117.033982 32.774016, -117.029839 32.77339, -117.028067 32.772703, -117.026927 32.772191, -117.023308 32.770164, -117.024937 32.769749)))"
014805,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.027335 32.774632, -117.027339 32.773958, -117.027238 32.773081, -117.026927 32.772191, -117.028067 32.772703, -117.029839 32.77339, -117.033982 32.774016, -117.04052 32.772693, -117.042273 32.772803, -117.043148 32.772993, -117.048816 32.775662, -117.048784 32.77604, -117.048675 32.776892, -117.048653 32.777335, -117.049593 32.777229, -117.051377 32.777936, -117.048666 32.779525, -117.048653 32.780221, -117.045689 32.779964, -117.045261 32.779892, -117.043704 32.778524, -117.044127 32.777909, -117.043684 32.777216, -117.040561 32.779382, -117.03995 32.779444, -117.038977 32.779536, -117.038197 32.779609, -117.033 32.780915, -117.032826 32.78051, -117.032593 32.780164, -117.028361 32.776623, -117.027335 32.774632)))"
