county,hospital_name,transit_options,num_transit_options
Kings,Adventist Health Hanford,"['7th @ Adventist Hospital', '7th @ Senior Villa Apartments', 'Lacey @ Kings Eye Center', 'Lacey & Mall Drive', '7th & Reagan Way', 'Lacey @ Hanford Mall', 'Lacey @ Government Center', ""Lacey @ Chubby's"", 'Centennial @ Walmart', 'Centennial @ Target', 'Lacey @ Centennial Plaza', ""Lacey @ Aldi's"", '12th @ Centennial Plaza', '7th @ Medical Centers', 'Lacey & Greenfield']",15
Kings,NYC Health + Hospitals/Kings County,"['Church Av', 'Church Ave/Nostrand Av', 'Clarkson Av/Kings Cnty Hos Main', 'Albany Av/Clarkson Av', 'Clarkson Av/New York Av', 'Albany Av/Winthrop St', 'Clarkson Av/Nostrand Av', 'Church Av/Brooklyn Av', 'Clarkson Ave/Kings County Hospital', 'Clarkson Ave/Kings County Hospital', 'KCHC E-Building, 541 Clarkson Ave', 'Clarkson Av/E 38 St', 'Clarkson Ave/Albany Av', 'Clarkson Ave/New York Av', 'Kingston Av/Rutland Rd', 'Albany Av/Winthrop St', 'New York Ave/Clarkson Av', 'Clarkson Ave/New York Av', 'Albany Ave/Clarkson Av', 'New York Av/Winthrop St']",20
Kings,Adventist Health Selma,[],0
Kings,Adventist Health Reedley,"['Cypress Ave and Acacia Ave', 'Reedley College', 'Reedley College', 'McDonald’s']",4
Kings,Adventist Health Medical Office,"['Shaw @ Home Garden Health Center', 'Garden Drive & Shaw', 'Garden Drive & 2nd Place', '6th & Eastview Drive', 'Home & Shaw', 'Home & 2nd Place', 'Garden Drive & 10th', '10th & Home', '10th Ave & Camino Ramon']",9
Kings,Venice house hospital,"['Hanford', '6th & Irwin', '7th & Douty', '7th & Redington', '5th @ FHCN', '8th & Irwin', 'Douty @ Civic Center', '7th & Brown', '7th & Brown', '8th @ Aria Community Health', 'Douty @ Library', '3rd & Douty', 'Douty & 2nd', 'Douty & 11th Street', '7th @ United Market', 'KART Transit Center', 'Douty & Ivy', '7th & East', '3rd & White', 'Douty & Lang']",20
Kings,United Health Centers - Lemoore,"['Hanford Armona Road @ Country Club Apartments', 'Hanford Armona Road @ Pioneer Square', 'Hanford Armona Road across Park Place Apartments', 'Hanford Armona Road @ Park Place Apartments', '18th @ Pizza Hut', 'Hanford Armona Road @ Goodwill', 'Hanford Armona Road & Belinda', 'Hanford Armona Road & Cinnamon', 'Fox @ K-Mart', 'Cinnamon & 18th']",10
Kings,Valley Family Health Center,"['Hanford', '5th @ FHCN', '6th & Irwin', '7th & Redington', '7th & Douty', '8th & Irwin', '8th @ Aria Community Health', '3rd & Douty', 'Douty & 2nd', 'Douty @ Civic Center', 'KART Transit Center', '7th & Brown', '7th & Brown', 'Douty @ Library', 'Douty & Lang', '11th across Cost Less', '11th @ Cost Less', 'Douty & 11th Street', '7th @ United Market', '3rd & White']",20
San Benito,Hazel Hawkins Memorial Hospital,"['Hazel Hawkins Hospital', 'Target Shopping Center', 'Ladd Ln & Hillock Dr', 'Clearview Dr & Ghione Dr']",4
San Benito,San Benito Health Foundation,"['Summer & South', 'San Benito Health Foundation', 'Central & Felice (Calaveras Elementary School)', '4th & Line (El Gruillense)', 'Mission Oaks', '4th & Miller (Quik Stop)', 'Miller & Central', 'Summer & South', 'Central & Graf', 'Summer Dr & Trask Dr', '4th & West (County Departments)', '4th & West (County Departments)']",12
San Benito,St. Louise Regional Hospital,['Saint Louise Regional Hospital'],1
San Benito,Salinas Valley Health Medical Center,"['E Romie Ln / Los Palos', 'E Romie Ln / Alameda', 'E Romie Ln / San Marino', 'Abbott / Los Palos', 'Abbott / Malarin Street', 'E Romie Ln / 780 Romie Ln', 'Abbott / Johnson', 'E Romie Ln / California', 'Abbott / Chamberlain', 'Abbott / Blanco Rd', 'Abbott / # 905', 'E Blanco / Blanco Circle', 'Abbott / Maple']",13
San Benito,Sunnyslope Medical Center,"['Hazel Hawkins Hospital', 'Ladd Ln & Hillock Dr', 'Target Shopping Center', ""Veteran's Park"", ""Veteran's Park"", ""Veteran's Park"", 'Hillcrest Rd & El Toro Dr', 'Sunnyslope Rd & Highland Dr']",8
