"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Car, truck, or van -- drove alone!!Estimate","Imperial County, California!!Car, truck, or van -- drove alone!!Margin of Error","Imperial County, California!!Car, truck, or van -- carpooled!!Estimate","Imperial County, California!!Car, truck, or van -- carpooled!!Margin of Error","Imperial County, California!!Public transportation (excluding taxicab)!!Estimate","Imperial County, California!!Public transportation (excluding taxicab)!!Margin of Error","Imperial County, California!!Worked from home!!Estimate","Imperial County, California!!Worked from home!!Margin of Error"
"Workers 16 years and over","63,833","±3,267","49,397","±3,080","6,213","±1,812","0","±221","5,534","±1,780"
"    AGE","","","","","","","","","",""
"        16 to 19 years","2.9%","±1.0","3.0%","±1.3","1.8%","±2.5","-","**","2.4%","±3.5"
"        20 to 24 years","9.5%","±1.9","9.2%","±2.4","12.3%","±7.4","-","**","4.0%","±4.5"
"        25 to 44 years","47.2%","±2.4","47.6%","±3.0","48.9%","±13.4","-","**","45.0%","±14.0"
"        45 to 54 years","20.4%","±1.9","20.5%","±2.3","15.5%","±8.0","-","**","24.7%","±11.0"
"        55 to 59 years","9.6%","±1.7","9.9%","±2.0","7.4%","±4.4","-","**","8.6%","±6.6"
"        60 years and over","10.4%","±2.2","9.8%","±2.0","14.0%","±11.8","-","**","15.3%","±10.2"
"        Median age (years)","41.4","±1.6","40.8","±2.1","41.8","±4.3","-","**","44.8","±5.7"
"    SEX","","","","","","","","","",""
"        Male","54.3%","±2.7","57.8%","±2.8","55.2%","±7.0","-","**","32.3%","±14.4"
"        Female","45.7%","±2.7","42.2%","±2.8","44.8%","±7.0","-","**","67.7%","±14.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","N","N","N","N","N","N","N","N","N","N"
"            Black or African American","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N"
"            Asian","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N"
"            Some other race","45.6%","±5.2","45.3%","±6.0","60.7%","±12.0","-","**","35.5%","±14.6"
"        Two or more races","34.9%","±5.0","34.5%","±5.5","18.9%","±9.3","-","**","47.0%","±12.6"
"        Hispanic or Latino origin (of any race)","86.4%","±2.0","86.9%","±2.7","89.5%","±6.3","-","**","78.3%","±18.2"
"        White alone, not Hispanic or Latino","N","N","N","N","N","N","N","N","N","N"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","",""
"        Native","57.5%","±3.3","58.3%","±3.8","49.2%","±11.5","-","**","55.8%","±15.6"
"        Foreign born","42.5%","±3.3","41.7%","±3.8","50.8%","±11.5","-","**","44.2%","±15.6"
"            Naturalized U.S. citizen","21.8%","±3.0","21.8%","±3.4","21.8%","±8.3","-","**","27.5%","±13.1"
"            Not a U.S. citizen","20.8%","±3.1","19.9%","±3.1","29.0%","±13.1","-","**","16.7%","±8.6"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"        Speak language other than English","83.1%","±2.5","83.7%","±3.1","82.6%","±8.2","-","**","79.1%","±12.0"
"            Speak English ""very well""","51.7%","±4.2","52.1%","±4.7","50.7%","±13.0","-","**","50.0%","±13.3"
"            Speak English less than ""very well""","31.4%","±3.8","31.5%","±4.3","31.9%","±10.9","-","**","29.1%","±11.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","","","",""
"    Workers 16 years and over with earnings","63,833","±3,267","49,397","±3,080","6,213","±1,812","0","±221","5,534","±1,780"
"        $1 to $9,999 or loss","7.2%","±2.0","6.7%","±2.2","9.6%","±5.5","-","**","9.8%","±7.6"
"        $10,000 to $14,999","7.8%","±1.8","7.2%","±2.1","5.1%","±3.4","-","**","13.4%","±10.8"
"        $15,000 to $24,999","15.2%","±3.2","14.5%","±3.6","24.9%","±8.9","-","**","14.3%","±7.7"
"        $25,000 to $34,999","14.3%","±2.8","13.0%","±3.0","26.0%","±8.5","-","**","4.0%","±4.2"
"        $35,000 to $49,999","17.9%","±3.1","19.4%","±3.5","14.0%","±6.5","-","**","11.9%","±8.2"
"        $50,000 to $64,999","11.8%","±2.4","12.3%","±2.6","4.0%","±3.8","-","**","14.1%","±9.6"
"        $65,000 to $74,999","3.2%","±1.4","2.4%","±1.1","3.4%","±3.3","-","**","10.6%","±12.1"
"        $75,000 or more","22.5%","±3.4","24.6%","±4.0","12.9%","±6.5","-","**","21.8%","±10.5"
"        Median earnings (dollars)","38,991","±3,757","40,839","±3,315","30,499","±2,884","-","**","46,638","±19,998"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","63,833","±3,267","49,397","±3,080","6,213","±1,812","0","±221","5,534","±1,780"
